Name            ,Time
avani_saxena    ,72:08:03
aashna1310rane  ,72:08:50
muskanmandloi151,72:35:25
1001manasi      ,72:45:57
simranverma0308 ,72:56:38
bhawsarritika   ,73:06:39
s4marthsharma   ,73:16:13
utkarshgubrelay1,73:17:26
anushka_parisax1,73:51:03
Ujjwalsolanki211,73:53:29
palakgupta2805  ,73:54:44
goutamverma84009,75:03:11
mahi9dubey      ,75:06:07
nitindwivedi267 ,75:35:27
madhavpaliwal02 ,75:51:07
nm890234        ,76:29:05
Palakporwal2504 ,78:34:33
tusharkv8       ,78:43:39
amitgn2001      ,79:23:06
mayankjaiswal201,79:38:23
kashishahuja15  ,80:11:35
chetankhandelwa1,80:40:01
srushtikm2001   ,91:24:00
avadhitomar011  ,92:55:08
imsalonijaiswal ,93:45:48
mehakbasrani17  ,94:23:01
gehlotshubhi    ,94:35:32
rayush299       ,94:46:58
sejkarabhi      ,94:59:41
